region,week_start_date,pct_change_baseline,pct_change_wow,weekly_avg_new_cases,weekly_new_cases_per_100k,sah_week_start_date,sah_pct_change_baseline,sah_pct_change_wow,sah_weekly_avg_new_cases,sah_weekly_new_cases_per_100k,mobility_lockdown_lag_wk,Code,governor_party
Alabama,2020-03-21,-27.61904761904762,-18.666666666666668,81.3,1.6181426230509888,2020-04-04,-37.23809523809524,-5.714285714285715,215.1,4.281211294197635,2,AL,republican
Alaska,2020-03-21,-36.42857142857143,-24.61904761904762,8.6,1.1726350609702056,2020-03-28,-43.57142857142857,-7.142857142857139,12.3,1.6771408430155266,1,AK,republican
Arizona,2020-03-17,-26.857142857142858,-22.857142857142858,31,0.43347537342505116,2020-03-31,-40.857142857142854,-4.285714285714285,186.1,2.602250548206517,2,AZ,republican
California,2020-03-19,-44.857142857142854,-25.238095238095234,317.1,0.8020087296285421,2020-03-19,-44.857142857142854,-25.238095238095234,317.1,0.8020087296285421,0,CA,democrat
Colorado,2020-03-19,-43.095238095238095,-26.714285714285715,124.4,2.1545923473175153,2020-03-26,-51.23809523809524,-8.142857142857146,933.4,16.166370554551193,1,CO,democrat
Connecticut,2020-03-16,-32.142857142857146,-28.190476190476193,43.3,1.200795131593835,2020-03-23,-47.61904761904762,-15.476190476190474,238,6.6002134253887474,1,CT,democrat
Delaware,2020-03-17,-31.857142857142858,-29.476190476190478,8.6,0.8687324990807598,2020-03-24,-44.80952380952381,-12.952380952380953,28,2.828431392355962,1,DE,democrat
Florida,2020-03-19,-37.285714285714285,-26.95238095238095,196.6,0.9127973491919259,2020-04-02,-51.42857142857143,-4.428571428571431,1214.3,5.637893291575563,2,FL,republican
Georgia,2020-03-20,-35.142857142857146,-20.28571428571429,176.9,1.6514331527119164,2020-04-03,-47,-6,745.4,6.958610921602388,2,GA,republican
Hawaii,2020-03-18,-34.57142857142857,-25.95238095238095,11.4,0.7833592506138033,2020-03-25,-54.714285714285715,-20.142857142857146,16.3,1.1200662969302624,1,HI,democrat
Idaho,2020-03-18,-20.19047619047619,-20.047619047619047,10.4,0.5654921467278123,2020-03-25,-35.904761904761905,-15.714285714285715,62,3.371203182415804,1,ID,republican
Illinois,2020-03-14,-24.523809523809526,-27.380952380952383,77,0.6009752345130243,2020-03-21,-48.38095238095238,-23.857142857142854,348.4,2.7192178143420476,1,IL,democrat
Indiana,2020-03-17,-24.285714285714285,-24.333333333333332,35,0.5158036338513378,2020-03-24,-37.476190476190474,-13.19047619047619,216.6,3.192087631205707,1,IN,republican
Kansas,2020-03-16,-17.571428571428573,-20.333333333333336,8.1,0.275709014663635,2020-03-30,-35.476190476190474,-5.523809523809522,60.1,2.045692812504255,2,KS,democrat
Kentucky,2020-03-19,-28.952380952380953,-20.904761904761905,24.1,0.5348618991015208,2020-03-26,-34.95238095238095,-5.9999999999999964,62.1,1.3782126113777775,1,KY,democrat
Louisiana,2020-03-16,-24.571428571428573,-27.714285714285715,107.1,2.299390028290441,2020-03-23,-40.523809523809526,-15.952380952380953,386.1,8.289397665013439,1,LA,democrat
Maine,2020-03-19,-36.285714285714285,-28,15.3,1.123052000243695,2020-04-02,-48.57142857142857,-5.285714285714285,33.4,2.4516298567411376,2,ME,democrat
Maryland,2020-03-16,-31.904761904761905,-28.904761904761905,31.4,0.5083189471516655,2020-03-30,-48.904761904761905,-2.2857142857142847,339.7,5.499233960108942,2,MD,republican
Massachusetts,2020-03-17,-44.57142857142857,-33.238095238095234,341.1,4.852119875668518,2020-03-24,-57.19047619047619,-12.61904761904762,822.9,11.705685856603997,1,MA,republican
Michigan,2020-03-17,-33.904761904761905,-30.38095238095238,196.9,1.9538903703768389,2020-03-24,-54.523809523809526,-20.61904761904762,764.1,7.582364814651817,1,MI,democrat
Minnesota,2020-03-20,-42.38095238095238,-23.76190476190476,36.4,0.6378697673212309,2020-03-27,-50.19047619047619,-7.80952380952381,56.9,0.9971096088070889,1,MN,democrat
Mississippi,2020-03-20,-23.952380952380953,-20.80952380952381,62.1,2.0970668417261598,2020-04-03,-34.714285714285715,-7.285714285714288,154.7,5.224094048551318,2,MS,republican
Missouri,2020-03-16,-19.952380952380953,-23.095238095238095,22.4,0.36393690698796227,2020-04-06,-40.61904761904762,-3.857142857142861,263.7,4.2843822487823955,3,MO,republican
Montana,2020-03-14,-15.047619047619047,-20.285714285714285,2.7,0.249025801840024,2020-03-28,-41.76190476190476,-11.38095238095238,19.1,1.7616269685720216,2,MT,republican
Nevada,2020-03-18,-44,-35.80952380952381,31.9,1.0275029359527466,2020-04-01,-51.19047619047619,-1.5238095238095255,144.3,4.647920804325434,2,NV,democrat
New Hampshire,2020-03-20,-36.80952380952381,-22.761904761904763,13.6,0.9872750410336188,2020-03-27,-45.476190476190474,-8.666666666666664,48.9,3.5498345225399976,1,NH,republican
New Jersey,2020-03-14,-29.142857142857142,-28.238095238095237,120.1,1.2929279532315339,2020-03-21,-53.333333333333336,-24.190476190476193,1133.6,12.203689656813212,1,NJ,democrat
New Mexico,2020-03-17,-20.952380952380953,-22.714285714285715,8.9,0.4203025989812621,2020-03-24,-36.80952380952381,-15.857142857142858,22,1.0389502446727825,1,NM,democrat
New York,2020-03-20,-53.333333333333336,-27.952380952380956,4739.4,23.460925609104663,2020-03-20,-53.333333333333336,-27.952380952380956,4739.4,23.460925609104663,0,NY,democrat
North Carolina,2020-03-16,-24.047619047619047,-24,41.7,0.39944870331479204,2020-03-30,-42.285714285714285,-4.857142857142854,236.7,2.2673742943551862,2,NC,democrat
Ohio,2020-03-16,-25.142857142857142,-25.19047619047619,46.6,0.39493372910325975,2020-03-23,-39.095238095238095,-13.952380952380953,185.3,1.5704124464127476,1,OH,republican
Oklahoma,2020-03-18,-21.38095238095238,-21.57142857142857,12.7,0.3207594776217225,2020-04-01,-32.42857142857143,-3.3333333333333357,129.4,3.2682107404921967,2,OK,republican
Oregon,2020-03-16,-27.333333333333332,-24.095238095238095,17.9,0.42244320380925765,2020-03-23,-45.285714285714285,-17.952380952380953,55.3,1.3050898978017849,1,OR,democrat
Pennsylvania,2020-03-18,-42.476190476190474,-32.80952380952381,119.1,0.9159636075584302,2020-04-01,-49,0.7142857142857153,1381.7,10.62625454713252,2,PA,democrat
Rhode Island,2020-03-14,-27.285714285714285,-27.523809523809522,6,0.5467573190301619,2020-03-28,-50.61904761904762,-6.285714285714285,72.6,6.615763560264958,2,RI,democrat
South Carolina,2020-03-17,-20.523809523809526,-25.04761904761905,38.3,0.748277057884017,2020-04-07,-41.42857142857143,-6.142857142857146,165.6,3.2353702554985175,3,SC,republican
Tennessee,2020-03-17,-22.571428571428573,-21.380952380952383,80.3,1.1619426871407816,2020-03-31,-37.04761904761905,-3.7142857142857153,281.6,4.074757916548496,2,TN,republican
