region,week_start_date,year,percent_change,percent_diff,week_biggest_change_mobility,weekly_avg_new_cases,sah_start_date,sah_day_of_week,mobility_lockdown_lag_wk,month
US,2020-02-09,2020,3.6666666666666665,NA,2020-03-15,0.3,NA,NA,NA,Feb 2020
US,2020-02-16,2020,0.3333333333333333,-3.333333333333333,2020-03-15,0.3,NA,NA,NA,Feb 2020
US,2020-02-23,2020,4.380952380952381,4.047619047619048,2020-03-15,1.4,NA,NA,NA,Feb 2020
US,2020-03-01,2020,5.142857142857143,0.7619047619047619,2020-03-15,55.9,NA,NA,NA,Mar 2020
US,2020-03-08,2020,-0.3333333333333333,-5.476190476190476,2020-03-15,362.1,NA,NA,NA,Mar 2020
US,2020-03-15,2020,-25.571428571428573,-25.23809523809524,2020-03-15,3300.6,NA,NA,NA,Mar 2020
US,2020-03-22,2020,-43.38095238095238,-17.809523809523807,2020-03-15,14480.1,NA,NA,NA,Mar 2020
US,2020-03-29,2020,-45.95238095238095,-2.5714285714285694,2020-03-15,28076.6,NA,NA,NA,Mar 2020
US,2020-04-05,2020,-48.04761904761905,-2.095238095238102,2020-03-15,31620.7,NA,NA,NA,Apr 2020
US,2020-04-12,2020,-47.285714285714285,0.7619047619047663,2020-03-15,28301,NA,NA,NA,Apr 2020
US,2020-04-19,2020,-44.333333333333336,2.952380952380949,2020-03-15,29443.7,NA,NA,NA,Apr 2020
US,2020-04-26,2020,-40.714285714285715,3.6190476190476204,2020-03-15,27563.3,NA,NA,NA,Apr 2020
US,2020-05-03,2020,-37.04761904761905,3.6666666666666643,2020-03-15,24992.6,NA,NA,NA,May 2020
US,2020-05-10,2020,-35.38095238095238,1.6666666666666714,2020-03-15,22299,NA,NA,NA,May 2020
US,2020-05-17,2020,-32.76190476190476,2.6190476190476204,2020-03-15,21887.7,NA,NA,NA,May 2020
US,2020-05-24,2020,-32.285714285714285,0.4761904761904745,2020-03-15,20771.3,NA,NA,NA,May 2020
US,2020-05-31,2020,-27.523809523809526,4.761904761904759,2020-03-15,21437.1,NA,NA,NA,May 2020
US,2020-06-07,2020,-25.333333333333332,2.1904761904761934,2020-03-15,21261.4,NA,NA,NA,Jun 2020
US,2020-06-14,2020,-23.761904761904763,1.5714285714285694,2020-03-15,26123.6,NA,NA,NA,Jun 2020
